qa_id,question,gold_answer,generated_answer,gt_slide_count,exact_match
1,How much is the Trading Operating Profit in the year Nestlé achieved the third largest Organic Growth in 10 years?,12.5 bn,10.5 billion CHF,2,0
7,What is the name of the brand which Nestlé acquired in the year Findus was divested?,PowerBar,Eismann EUR,2,0
9,"What is the percentage of the 10-year annual average of the Real Internal Growth for the company which has the tagline ""Good Food, Good Life""?",3.6,5.5,2,0
11,How many kinds of Business Intelligence Competence Center Key Skills are there?,3,4,2,0
20,Which region of the world accounts for the highest percentage of revenues in the year 12% GROWTH is achieved?,N. America,Eastern Europe,2,0
22,Where does the company which was awarded 2400 Patents in 2010 have the IP Transformation Center in Europe?,Belgium,Budapest,2,0
26,"Which country spend the most in Mobile display ads in the year 79300 Romanian use Twitter, according to IAB Europe AdEx Benchmark (2013)?",Turkey,US,2,0
54,How many points are listed to explain that a drug which has three Great Challenges such as Therapeutic Equivalency is the same as brand name drug?,7,3,2,0
69,"How many countries are detailed in the report titled ""GLOBAL DIGITAL STATISTICS 2014""?",24,10,2,0
71,How can the company which details 24 countries in the report be contacted?,"Email, Twitter, Phone, Website",@wearesocialsg,2,0
75,What percentage of the TOTAL POPULATION in the region where there are 252M mobile broadband subscriptions are ACTIVE SOCIAL NETWORK USERS?,56,54,2,0
79,What are affiliations of the person who says resilient behaviors are active behavior intended to retain the system identity?,"MOSAIC, Universiteit Antwerpen, iMinds",INRIA,2,0
87,What are the six parts of COLLABORATION MODEL of the organization where James has a role of leading the UK digital strategy?,"Policy & campaigns, Individual Giving, Creative Agency, Donor Care, Media Partner, Comms.","Policy & campaigns, Individual Giving, Donor Care, Comms., Creative Agency, Media Partner",2,0
91,"Did Penetration of the book which can be read through such services as ePUB and kindle, in School libraries increase or decrease from 2011 to 2012?",Decrease,Increase,2,0
93,What is the user experience of the book which penetrated less in schools than in public in 2012 composed of?,"eBook content, vendor choice",Free and Open Access Collections,2,0
103,What does the thing which is a process of continuous improvement connect to in the diagram?,BUSINESS PROBLEMS,PEOPLE,2,0
111,What are the three types of manufacturing technology for a manufactured assembly of fibres or yarns that has substantial surface area in relation to its thickness and sufficient cohesion to give the assembly useful mechanical strength?,"Weaving, Knitting, Non-Woven","Winding, knitting, weaving",2,0
121,How many major languages are there in the country that has control over mainland China and the largely self-governing territories of Hong Kong (since 1997) and Macau (since 1999)?,8,2,2,0
128,What are two approaches for what is also called linkage disequilibrium mapping?,"Candidate gene, Genome wide","Candidate gene association mapping, Genome wide association mapping",2,0
132,Who are the authors of the book about the process of coordinating work activities so that they are completed efficiently and effectively with and through other people pictured in the presentation?,"Stephen P. Robbins, Mary Coulter, Robin Stuart-Kotze",Pearson Education Canada Inc.,2,0
134,"What level comes between ""all managers between the first-line level and the top level of the organization who manage first line managers"" and Non-managerial Employees?",First-line Managers,Middle Management,2,0
137,What are examples of identifiable activities for the role of the figureheads that involve people and duties that are ceremonial and symbolic in nature?,"Greeting visitors, signing legal documents","Opening ceremonies, award ceremonies, public speaking",2,0
141,"What are two types of a device to permit constrained relative motion between two parts, typically rotation or linear movement?","ANTIFRICTION, FRICTION","Ball bearing, roller bearing",2,0
166,"Do updates or the activities that are shorter and more intense than projects, and are frequently supported with offline media have lower intensivity?",Updates,No,2,0
168,What is the media choice for short messages you send out with a certain degree of regularity?,Primarily online channels,Twitter,2,0
175,What is the process by which the breaking of hydrogen bonds allows water to change from the liquid phase into the gaseous phase which has reached equilibrium with the liquid surface said to have done?,reached saturation,Evaporation,2,0
177,What is another name for the only known substance that is less dense as a solid than it is as a liquid combined with salt?,Salt solution,Ice,2,0
184,What are two factors of the visible layer above Competencies?,"Human Nature, Context","Preferences, Motives",2,0
188,"Which two characteristics involve a shift away from the mentality of command and control toward one more focused on employee commitment, Knowledge Development, Performance-Reward Linkage, and Egalitarianism?","Gainsharing, Profit sharing","Values, Interests",2,0
195,What type of drug is the one discovered in 1928 by Alexander Flemming?,Cell Wall Synthesis Inhibition,Penicillin,2,0
