question_id,img_path,question,gt_answers,all_answers,answer,score
infoseek_val_00049872,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_05028800.JPEG,What is the closest parent taxonomy of this animal?,['Ondatra'],['Ondatra'],The closest parent taxonomy of the muskrat is the family Cricetidae.,0.0
infoseek_val_00045368,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_00001753.jpg,who/what operates this aircraft?,['BAW'],"['BAW', 'British Airways plc', 'Delta Air Lines, Inc', 'DAL', 'Delta Airlines', 'Delta Air Line', 'Delta Air lines', '@Delta', 'Delta Air Lines', 'Delta.com', 'DL', 'Delta Air Lines Incorporated', 'BA', 'Delta Air Lines, Inc.', 'Delta', 'Delta Air Lines Inc', 'British Airways', 'Delta (airline)', 'Delta Air Lines Inc.']","The aircraft in the image is operated by Continental Airlines, as indicated by the logo and livery on the plane.",0.0
infoseek_val_00028391,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_05009827.jpg,what is the date this aircraft took the first flight?,['29 July 1964'],"['29 July 1964', '29 7 1962', '7 29 1964', '1963 7 29', '1962 July 29', '1962', '29 7 1964', '7 29 1963', 'July 29 1964', '7 29 1962', '1964 7 29', '29 7 1963', '29 July 1963', '29 July 1962', '1964', '1963', 'July 29 1963', '1962 7 29', '1963 July 29', 'July 29 1962', '1964 July 29']",The Tupolev Tu-134 took its first flight on 20 November 1963.,0.0
infoseek_val_00043023,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_05013638.jpg,In which year did this facility officially open?,['1932'],"['1932', '1934', '1933']",The Battersea Power Station officially opened in 1935.,0.0
infoseek_val_00063950,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_05018982.jpg,What is the height of this island in metre?,['36.0'],[],"The height of the Confederation Bridge, which connects Prince Edward Island to New Brunswick, is approximately 40 meters above the water for most of its length, with a navigation span of 60 meters for ship traffic.",0.0
infoseek_val_00051662,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_00004139.jpg,What type of undercarriage is used in this aircraft?,['pontoon plane'],"['pontoon plane', 'float-equipped airplane', 'floatplane', 'float plane']",The aircraft in the image uses a fixed tricycle undercarriage.,0.0
infoseek_val_00027880,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_00004044.jpg,What type of undercarriage is used in this aircraft?,['pontoon plane'],"['pontoon plane', 'float-equipped airplane', 'floatplane', 'float plane']","The aircraft in the image, the de Havilland Canada DHC-6 Twin Otter, uses a fixed tricycle undercarriage.",0.0
infoseek_val_00036866,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_05009870.jpg,What is the total quantity of produced items for this type of aircraft?,['254.70000000000002'],[],The total quantity of Fokker 100 aircraft produced is 283.,0.0
infoseek_val_00025407,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_00003954.jpg,Which country does this aircraft come from?,['British North America'],"['British North America', 'CA', 'Dominion of Canada', 'Canada', 'CAN']","The aircraft in the image is from Iceland, as indicated by the text ""FLUGFÉLAG ÍSLANDS"" on its side, which translates to ""Icelandic Airlines.""",0.0
infoseek_val_00037970,/rds/project/rds-iS0FZqj9lmg/wl356/infoseek/infoseek_images/images/oven_05013630.jpg,What is the installed power capacity of this in megawatt?,['450.0'],[],The installed power capacity of Battersea Power Station is 509 megawatts (MW).,0.0
