qa_id,question,img_path,gold_answer,generated_answer,evidence_page_nums,gt_slide_count,prior_evidence_em,prior_evidence_em_at_topk,dominant_passage_is_gt,prior_passage_is_gt,exact_match
5,"In which year did the company that divested Eismann in 2004 achieve higher Organic Growth, 2003 or 2004?",../../shared_space/vqa_data/KBVQA_data/SlideVQA/test_5_page_7.png,2003,2004,"[7, 13]",2,1,1,True,True,0
7,What is the name of the brand which Nestlé acquired in the year Findus was divested?,../../shared_space/vqa_data/KBVQA_data/SlideVQA/test_7_page_12.png,PowerBar,Dreyers,"[12, 13]",2,1,1,True,True,0
54,How many points are listed to explain that a drug which has three Great Challenges such as Therapeutic Equivalency is the same as brand name drug?,../../shared_space/vqa_data/KBVQA_data/SlideVQA/test_54_page_4.png,7,4,"[4, 6]",2,1,1,True,True,0
168,What is the media choice for short messages you send out with a certain degree of regularity?,../../shared_space/vqa_data/KBVQA_data/SlideVQA/test_168_page_12.png,Primarily online channels,social media,"[12, 13]",2,1,1,True,True,0
195,What type of drug is the one discovered in 1928 by Alexander Flemming?,../../shared_space/vqa_data/KBVQA_data/SlideVQA/test_195_page_2.png,Cell Wall Synthesis Inhibition,Penicillin,"[2, 6]",2,1,1,True,True,0
207,How many more total app downloads were there for the phone which had an average of 68 downloaded apps per phone than iOS in July '14?,../../shared_space/vqa_data/KBVQA_data/SlideVQA/test_207_page_8.png,"2,000,000,000",2000000000,"[8, 11]",2,1,1,True,True,0
236,What are two ways in which the daily amount of that represented by Ws in Banister’s impulse-response model can influence an athlete?,../../shared_space/vqa_data/KBVQA_data/SlideVQA/test_236_page_6.png,"Negative, Positive","Positive influence, Negative influence","[6, 7]",2,1,1,True,True,0
246,When is the best time for outreach on the platform in which Moz’s followers are most active between 8-9 AM?,../../shared_space/vqa_data/KBVQA_data/SlideVQA/test_246_page_6.png,Mondays - Thursdays 1 pm - 3 pm,1 pm - 4 pm,"[6, 10]",2,1,1,True,True,0
264,What do membranes which offer 3 distinct advantages to food packaging block?,../../shared_space/vqa_data/KBVQA_data/SlideVQA/test_264_page_9.png,"moisture outflow, oxygen inflow",moisture outflow and oxygen inflow,"[9, 18]",2,1,1,True,True,0
315,What comes under Resources for the Center which treats conditions in the column to the left of Craniofacial?,../../shared_space/vqa_data/KBVQA_data/SlideVQA/test_315_page_15.png,"Overview, Useful Links, Recommended Reading, Tests & Procedures",Useful Links,"[15, 16]",2,1,1,True,True,0
365,What percentage of total hotels does the one who entered the hotel industry in 1975 account for?,../../shared_space/vqa_data/KBVQA_data/SlideVQA/test_365_page_3.png,18,82,"[3, 5]",2,1,1,False,True,0
